Step  170: PC=67  | LOAD $at, 64($zero)                 | SP=60 t0=0   t1=10  t2=1   ra=161
Step  171: PC=68  | STORE_STACK $at                     | SP=60 t0=0   t1=10  t2=1   ra=161
Step  172: PC=69  | LOAD $at, 68($zero)                 | SP=59 t0=0   t1=10  t2=1   ra=161
Step  173: PC=70  | STORE_STACK $at                     | SP=59 t0=0   t1=10  t2=1   ra=161
Step  174: PC=71  | LOAD $at, 72($zero)                 | SP=58 t0=0   t1=10  t2=1   ra=161
Step  175: PC=72  | STORE_STACK $at                     | SP=58 t0=0   t1=10  t2=1   ra=161
Step  176: PC=73  | LOAD $at, 76($zero)                 | SP=57 t0=0   t1=10  t2=1   ra=161
Step  177: PC=74  | STORE_STACK $at                     | SP=57 t0=0   t1=10  t2=1   ra=161
Step  178: PC=75  | LOAD $at, 80($zero)                 | SP=56 t0=0   t1=10  t2=1   ra=161
Step  179: PC=76  | STORE_STACK $at                     | SP=56 t0=0   t1=10  t2=1   ra=161
Step  180: PC=77  | LOAD $at, 84($zero)                 | SP=55 t0=0   t1=10  t2=1   ra=161
Step  181: PC=78  | STORE_STACK $at                     | SP=55 t0=0   t1=10  t2=1   ra=161
Step  182: PC=79  | LOAD $t0, 72($zero)                 | SP=54 t0=0   t1=10  t2=1   ra=161
Step  183: PC=80  | STORE_STACK $t0                     | SP=54 t0=10  t1=10  t2=1   ra=161
Step  184: PC=81  | LOAD $t0, 76($zero)                 | SP=53 t0=10  t1=10  t2=1   ra=161
Step  185: PC=82  | STORE_STACK $t0                     | SP=53 t0=0   t1=10  t2=1   ra=161
Step  186: PC=83  | LOAD $t0, 64($zero)                 | SP=52 t0=0   t1=10  t2=1   ra=161
Step  187: PC=84  | STORE_STACK $t0                     | SP=52 t0=0   t1=10  t2=1   ra=161
Step  188: PC=85  | JAL $ra, 1  # (offset=-85)          | SP=51 t0=0   t1=10  t2=1   ra=161
Step  189: PC=1   | LOAD_STACK $at                      | SP=51 t0=0   t1=10  t2=1   ra=86 
Step  190: PC=2   | STORE $at, 40($zero)                | SP=52 t0=0   t1=10  t2=1   ra=86 
Step  191: PC=3   | LOAD_STACK $at                      | SP=52 t0=0   t1=10  t2=1   ra=86 
Step  192: PC=4   | STORE $at, 44($zero)                | SP=53 t0=0   t1=10  t2=1   ra=86 
Step  193: PC=5   | LOAD_STACK $at                      | SP=53 t0=0   t1=10  t2=1   ra=86 
Step  194: PC=6   | STORE $at, 48($zero)                | SP=54 t0=0   t1=10  t2=1   ra=86 
Step  195: PC=7   | STORE_STACK $ra                     | SP=54 t0=0   t1=10  t2=1   ra=86 
